Date,Count
19-Aug-16,3
19-Aug-16,261
19-Aug-16,1
19-Aug-16,82
19-Aug-16,176
19-Aug-16,3
19-Aug-16,2
19-Aug-16,15
19-Aug-16,1
19-Aug-16,2
19-Aug-16,114
19-Aug-16,11
19-Aug-16,1
19-Aug-16,49
19-Aug-16,1
19-Aug-16,18
19-Aug-16,1
19-Aug-16,29
19-Aug-16,13
19-Aug-16,1
19-Aug-16,45
19-Aug-16,2
19-Aug-16,3
19-Aug-16,106
19-Aug-16,30
19-Aug-16,38
19-Aug-16,80
19-Aug-16,1
19-Aug-16,6
19-Aug-16,3488
19-Aug-16,3
19-Aug-16,52
19-Aug-16,11
19-Aug-16,2
19-Aug-16,13
19-Aug-16,3
19-Aug-16,1
19-Aug-16,1
19-Aug-16,460
19-Aug-16,960
18-Aug-16,1
18-Aug-16,1
18-Aug-16,116
18-Aug-16,30
18-Aug-16,8
18-Aug-16,103
18-Aug-16,825
18-Aug-16,600
18-Aug-16,6
18-Aug-16,14
18-Aug-16,6
18-Aug-16,15
18-Aug-16,4
18-Aug-16,510
18-Aug-16,5
18-Aug-16,44
18-Aug-16,60
18-Aug-16,4
18-Aug-16,13
18-Aug-16,4
18-Aug-16,2
18-Aug-16,156
18-Aug-16,2
18-Aug-16,2
18-Aug-16,3896
18-Aug-16,46
18-Aug-16,11
18-Aug-16,2
18-Aug-16,25
18-Aug-16,2
18-Aug-16,2
18-Aug-16,45
18-Aug-16,2
18-Aug-16,300
18-Aug-16,8
18-Aug-16,8
18-Aug-16,3
18-Aug-16,1
18-Aug-16,125
18-Aug-16,9
18-Aug-16,1
18-Aug-16,2
18-Aug-16,3
18-Aug-16,48
18-Aug-16,49
18-Aug-16,162
18-Aug-16,1
18-Aug-16,55
18-Aug-16,98
18-Aug-16,1326
18-Aug-16,1
18-Aug-16,453
18-Aug-16,2
18-Aug-16,51
18-Aug-16,3
18-Aug-16,242
18-Aug-16,2
18-Aug-16,297
18-Aug-16,6
18-Aug-16,102
18-Aug-16,41
18-Aug-16,8
18-Aug-16,1
18-Aug-16,28
18-Aug-16,896
18-Aug-16,45
18-Aug-16,27
18-Aug-16,7
18-Aug-16,93
18-Aug-16,39
18-Aug-16,4
18-Aug-16,1
18-Aug-16,71
18-Aug-16,2
18-Aug-16,1
18-Aug-16,7
18-Aug-16,6
18-Aug-16,2
18-Aug-16,5
18-Aug-16,7
18-Aug-16,15
18-Aug-16,11
18-Aug-16,1
18-Aug-16,2
